Experience,UG,Location,PG,Salary,Department,Role Category
3 - 7 years,Any Graduate,"Bengaluru, Mumbai (All Areas)",Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
4 - 7 years,Any Graduate,"Mumbai, Chennai",Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
3 - 6 years,Any Graduate,"Mumbai, Chennai",Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
8 - 12 years,B.Sc in Chemistry,"Noida, Mumbai",MS/M.Sc(Science) in Chemistry,Not Disclosed,Sales & Business Development,BD / Pre Sales
3 - 8 years,Any Graduate,"Bengaluru, Delhi / NCR, Mumbai (All Areas)",,8-18 Lacs P.A.,Sales & Business Development,BD / Pre Sales
1 - 5 years,Any Graduate,"Chennai, Bengaluru, Mumbai (All Areas)",,Not Disclosed,Sales & Business Development,BD / Pre Sales
15 - 24 years,Any Graduate,"Bengaluru, Delhi / NCR, Mumbai (All Areas)",,35-50 Lacs P.A.,Sales & Business Development,BD / Pre Sales
5 - 10 years,B.Tech/B.E. in Any Specialization,"Mumbai, Visakhapatnam, Ahmedabad, Chennai",,7-11 Lacs P.A.,Sales & Business Development,BD / Pre Sales
5 - 10 years,Any Graduate,"Chennai, Bengaluru, Mumbai (All Areas)",,8-15 Lacs P.A.,Sales & Business Development,BD / Pre Sales
8 - 13 years,Any Graduate,"Chennai, Bengaluru, Mumbai (All Areas)",,3.75-8.75 Lacs P.A.,Sales & Business Development,BD / Pre Sales
1 - 5 years,Any Graduate,Mumbai,,Not Disclosed,Sales & Business Development,BD / Pre Sales
12 - 15 years,Any Graduate,"Mumbai, Mumbai (All Areas)",,Not Disclosed,Sales & Business Development,BD / Pre Sales
1 - 3 years,Any Graduate,"Mumbai( Vashi, Koperkhairane, Kharghar, Panvel, Nerul, Thane West ), Thane, Navi Mumbai","M.A in Any Specialization, MBA/PGDM in Any Specialization, Any Postgraduate, PG Diploma in Any Specialization",2.5-4.75 Lacs P.A.,Sales & Business Development,BD / Pre Sales
1 - 6 years,Any Graduate,Mumbai,Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
2 - 4 years,B.Tech/B.E. in Any Specialization,Mumbai,Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
2 - 4 years,Any Graduate,Mumbai,Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
3 - 5 years,Any Graduate,Mumbai,Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
1 - 6 years,Any Graduate,Mumbai,Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
1 - 6 years,Any Graduate,Mumbai,Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
4 - 9 years,Any Graduate,"Patna, Navi Mumbai, Gaya",,10-14 Lacs P.A. (Including Variable: 30%),Sales & Business Development,BD / Pre Sales
0 - 2 years,Any Graduate,"Mumbai Suburban, Navi Mumbai, Mumbai (All Areas)( Borivali, Goregaon )",,4-9 Lacs P.A.,Sales & Business Development,BD / Pre Sales
12 - 15 years,Any Graduate,Hiring office located in Mumbai,,12-22 Lacs P.A.,Sales & Business Development,BD / Pre Sales
1 - 3 years,Any Graduate,Mumbai( Vikhroli West ),,Not Disclosed,Sales & Business Development,BD / Pre Sales
0 - 2 years,Any Graduate,"Mumbai( Andheri, Andheri East )",Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
2 - 3 years,Any Graduate,"Thane, Navi Mumbai, Mumbai (All Areas)",,Not Disclosed,Sales & Business Development,BD / Pre Sales
3 - 7 years,"Diploma in Mechanical, Electronics/Telecommunication, B.Tech/B.E. in Electronics/Telecommunication, Instrumentation, Mechanical, Electrical","Mumbai, New Delhi",,1-6 Lacs P.A.,Sales & Business Development,BD / Pre Sales
1 - 5 years,Any Graduate,Mumbai,,5-6.5 Lacs P.A.,Sales & Business Development,BD / Pre Sales
5 - 10 years,Any Graduate,"Mumbai, Mumbai Suburban, Mumbai (All Areas)","Any Postgraduate, MBA/PGDM in International Business",20-25 Lacs P.A.,Sales & Business Development,BD / Pre Sales
0 - 1 years,Graduation Not Required,Mumbai( Kandivali West ),,2.4-3.6 Lacs P.A.,Sales & Business Development,BD / Pre Sales
0 - 1 years,"B.Tech/B.E. in Mechanical, Civil, Electrical","Noida, Mumbai (All Areas)",MBA/PGDM in Any Specialization,3.5-4.75 Lacs P.A.,Sales & Business Development,BD / Pre Sales
0 - 1 years,Any Graduate,"Mumbai Suburban, Thane, Mumbai (All Areas)",,1.75-2.25 Lacs P.A.,Sales & Business Development,BD / Pre Sales
1 - 6 years,Any Graduate,Mumbai,Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
1 - 6 years,Any Graduate,Mumbai Suburban,Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
1 - 6 years,Any Graduate,Mumbai,Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
2 - 6 years,B.B.A/ B.M.S in Any Specialization,Mumbai,Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
1 - 4 years,Any Graduate,Mumbai,Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
6 - 10 years,Any Graduate,"Mumbai, Thane",Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
0 - 3 years,"Diploma in Any Specialization, B.Tech/B.E. in Any Specialization, B.Sc in Any Specialization, BCA in Any Specialization","Ahmedabad, Delhi / NCR, Mumbai (All Areas)",,2-4 Lacs P.A.,Sales & Business Development,BD / Pre Sales
1 - 6 years,Any Graduate,"Mumbai, Mumbai Suburban, Mumbai (All Areas)",Any Postgraduate,5-7.5 Lacs P.A.,Sales & Business Development,BD / Pre Sales
2 - 5 years,"B.Tech/B.E. in Electronics/Telecommunication, Electrical and Electronics, Instrumentation, Electrical","Chennai, Mumbai (All Areas)",,3.5-6 Lacs P.A.,Sales & Business Development,BD / Pre Sales
1 - 2 years,Any Graduate,Mumbai( Borivali West ),,3-4 Lacs P.A.,Sales & Business Development,BD / Pre Sales
2 - 6 years,Any Graduate,Mumbai( Lower Parel ),Any Postgraduate,2-5 Lacs P.A.,Sales & Business Development,BD / Pre Sales
2 - 4 years,Any Graduate,"Mumbai, New Delhi",,5-6 Lacs P.A.,Sales & Business Development,BD / Pre Sales
2 - 4 years,"B.Tech/B.E. in Mechanical, Chemical","Mumbai, Sion",Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
3 - 5 years,Any Graduate,Mumbai,Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
3 - 8 years,"B.Tech/B.E. in Any Specialization, B.Sc in Any Specialization",Mumbai,"M.Tech in Any Specialization, MS/M.Sc(Science) in Any Specialization",Not Disclosed,Sales & Business Development,BD / Pre Sales
2 - 7 years,Any Graduate,Mumbai Suburban,,5-5.5 Lacs P.A.,Sales & Business Development,BD / Pre Sales
0 - 1 years,"B.Tech/B.E. in Mechanical, Civil",Navi Mumbai,MBA/PGDM in Marketing,Not Disclosed,Sales & Business Development,BD / Pre Sales
0 - 2 years,Any Graduate,"Mumbai, Mumbai Suburban, Mumbai (All Areas)",,2-3 Lacs P.A.,Sales & Business Development,BD / Pre Sales
1 - 6 years,Any Graduate,"Chennai, Mumbai (All Areas)",,Not Disclosed,Sales & Business Development,BD / Pre Sales
2 - 7 years,Any Graduate,"Ahmedabad, Chennai, Mumbai (All Areas)",,Not Disclosed,Sales & Business Development,BD / Pre Sales
0 - 1 years,,"Mumbai, Mumbai (All Areas)",MBA/PGDM in Marketing,Not Disclosed,Sales & Business Development,BD / Pre Sales
1 - 3 years,Graduation Not Required,Mumbai Suburban,,3.5-4.75 Lacs P.A.,Sales & Business Development,BD / Pre Sales
0 - 3 years,Any Graduate,"Mumbai, Mumbai (All Areas)",Any Postgraduate,3-6 Lacs P.A.,Sales & Business Development,BD / Pre Sales
4 - 8 years,"B.Tech/B.E. in Any Specialization, Diploma in Any Specialization, B.Sc in Any Specialization, B.Com in Any Specialization",Mumbai( Mulund ),,7.5-10 Lacs P.A.,Sales & Business Development,BD / Pre Sales
1 - 3 years,Any Graduate,Mumbai Suburban,,Not Disclosed,Sales & Business Development,BD / Pre Sales
1 - 3 years,Any Graduate,Mumbai Suburban,,Not Disclosed,Sales & Business Development,BD / Pre Sales
0 - 1 years,Any Graduate,Mumbai,MBA/PGDM in Any Specialization,Not Disclosed,Sales & Business Development,BD / Pre Sales
0 - 5 years,"B.Tech/B.E. in Production/Industrial, Mechanical",Mumbai,Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
7 - 12 years,,"Thane, Mumbai (All Areas)",,7-15 Lacs P.A.,,
0 - 4 years,Any Graduate,"Thane, Navi Mumbai, Mumbai (All Areas)( Vashi, Koperkhairane, Nerul, Kharghar, Panvel, Wagle Estate )",,Not Disclosed,Sales & Business Development,BD / Pre Sales
6 months duration,Any Graduate,Mumbai( Goregaon East ),,"10,000/month",Sales & Business Development,BD / Pre Sales
0 - 4 years,"B.Tech/B.E. in Instrumentation, Mechanical, Electrical",Navi Mumbai,,2.5-6 Lacs P.A.,Sales & Business Development,BD / Pre Sales
1 - 4 years,B.Tech/B.E. in Any Specialization,"Navi Mumbai, Mumbai (All Areas)",M.Tech in Any Specialization,1-5 Lacs P.A.,Sales & Business Development,BD / Pre Sales
3 - 8 years,Any Graduate,"Mumbai( Dahisar ), Mumbai Suburban",,4-7 Lacs P.A.,Sales & Business Development,BD / Pre Sales
0 - 4 years,Any Graduate,Mumbai,,2-3 Lacs P.A.,Sales & Business Development,BD / Pre Sales
3 - 7 years,"B.Tech/B.E. in Textile, Mechanical, Electrical, B.B.A/ B.M.S, Diploma in Mechanical, Electrical",Mumbai Suburban,,4-6 Lacs P.A.,Sales & Business Development,BD / Pre Sales
3 - 5 years,Any Graduate,Mumbai Suburban,,3-5 Lacs P.A.,Sales & Business Development,BD / Pre Sales
4 - 9 years,Any Graduate,Navi Mumbai,,Not Disclosed,Sales & Business Development,BD / Pre Sales
4 - 8 years,B.Pharma in Any Specialization,Mumbai Suburban,"M.Pharma in Pharmacy, MBA/PGDM in International Business",Not Disclosed,Sales & Business Development,BD / Pre Sales
7 - 12 years,B.Pharma in Pharmacy,Mumbai Suburban,"M.Pharma in Pharmacy, MBA/PGDM in International Business",Not Disclosed,Sales & Business Development,BD / Pre Sales
6 - 11 years,"B.Tech/B.E. in Electronics/Telecommunication, Electrical","Ahmedabad, Mumbai (All Areas)",,Not Disclosed,Sales & Business Development,BD / Pre Sales
3 - 8 years,Any Graduate,"Chandigarh, Mumbai (All Areas)",,Not Disclosed,Sales & Business Development,BD / Pre Sales
2 - 5 years,"B.B.A/ B.M.S in Any Specialization, B.Pharma in Any Specialization, Any Graduate","Mumbai, Ahmedabad",,Not Disclosed,Sales & Business Development,BD / Pre Sales
1 - 3 years,Any Graduate,"New Delhi, Vadodara, Mumbai (All Areas)",,3.5-6 Lacs P.A.,Sales & Business Development,BD / Pre Sales
5 - 10 years,,"Mumbai, Navi Mumbai",MBA/PGDM in Marketing,Not Disclosed,Sales & Business Development,BD / Pre Sales
3 - 8 years,B.Tech/B.E. in Textile,Mumbai,,5-10 Lacs P.A.,Sales & Business Development,BD / Pre Sales
4 - 9 years,B.Tech/B.E. in Textile,"Ahmedabad, Mumbai (All Areas)",,Not Disclosed,Sales & Business Development,BD / Pre Sales
5 - 10 years,Graduation Not Required,"Mumbai, Mumbai Suburban, Mumbai (All Areas)",,5-10 Lacs P.A.,Sales & Business Development,BD / Pre Sales
3 - 8 years,Any Graduate,Mumbai,Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
2 - 7 years,Any Graduate,"Mumbai, Mumbai Suburban",,Not Disclosed,Sales & Business Development,BD / Pre Sales
1 - 2 years,Any Graduate,Mumbai( Ghatkopar East ),,2.25-3 Lacs P.A.,Sales & Business Development,BD / Pre Sales
1 - 4 years,Any Graduate,Mumbai,,Not Disclosed,Sales & Business Development,BD / Pre Sales
1 - 5 years,Any Graduate,"Navi Mumbai, Mumbai (All Areas), Kalyan",,3-6 Lacs P.A.,Sales & Business Development,BD / Pre Sales
1 - 5 years,Any Graduate,"Navi Mumbai, Mumbai (All Areas), Kalyan",,3-6 Lacs P.A.,Sales & Business Development,BD / Pre Sales
1 - 5 years,Any Graduate,"Navi Mumbai, Mumbai (All Areas), Khargar",,3-6 Lacs P.A.,Sales & Business Development,BD / Pre Sales
1 - 5 years,Any Graduate,"Navi Mumbai, Mumbai (All Areas), Ghatkopar",,3-6 Lacs P.A.,Sales & Business Development,BD / Pre Sales
1 - 6 years,"B.Sc in Any Specialization, B.B.A/ B.M.S in Any Specialization, B.Com in Any Specialization, B.A in Any Specialization",Navi Mumbai,MBA/PGDM in Any Specialization,Not Disclosed,Sales & Business Development,BD / Pre Sales
4 - 9 years,"B.Tech/B.E. in Electronics/Telecommunication, Electrical","Thane, Navi Mumbai, Mumbai (All Areas)( Sion, Chembur )","M.Tech in Electronics/Telecommunication, Electrical",15-25 Lacs P.A.,Sales & Business Development,BD / Pre Sales
3 - 8 years,Any Graduate,Mumbai Suburban,,4.8-12 Lacs P.A.,Sales & Business Development,BD / Pre Sales
1 - 3 years,Graduation Not Required,"Thane, Navi Mumbai",,3-4 Lacs P.A.,Sales & Business Development,BD / Pre Sales
3 - 6 years,Graduation Not Required,Mumbai( Malad West ),,3.6-6 Lacs P.A.,Sales & Business Development,BD / Pre Sales
1 - 2 years,B.Com in Any Specialization,Mumbai Suburban,,3-3.36 Lacs P.A.,Sales & Business Development,BD / Pre Sales
1 - 6 years,Any Graduate,Mumbai,,3.75-5.5 Lacs P.A.,Sales & Business Development,BD / Pre Sales
2 - 5 years,Any Graduate,"Thane, Navi Mumbai, Mumbai (All Areas)",,5-6 Lacs P.A.,Sales & Business Development,BD / Pre Sales
3 - 8 years,Any Graduate,Mumbai Suburban,,5-14 Lacs P.A.,Sales & Business Development,BD / Pre Sales
1 - 6 years,Any Graduate,"Mumbai Suburban, Thane, Navi Mumbai",,2.5-6 Lacs P.A.,Sales & Business Development,BD / Pre Sales
10 - 17 years,"Diploma in Any Specialization, B.Tech/B.E. in Any Specialization",Navi Mumbai,,10-18 Lacs P.A.,Sales & Business Development,BD / Pre Sales
5 - 10 years,B.Tech/B.E. in Chemical,Navi Mumbai,MBA/PGDM in Marketing,Not Disclosed,Sales & Business Development,BD / Pre Sales
1 - 6 years,Any Graduate,"Thane, Navi Mumbai",,3.5-5.5 Lacs P.A.,Sales & Business Development,BD / Pre Sales
2 - 5 years,,Navi Mumbai,MBA/PGDM,Not Disclosed,Sales & Business Development,BD / Pre Sales
0 - 1 years,Any Graduate,"Mumbai Suburban, Thane",,Not Disclosed,Sales & Business Development,BD / Pre Sales
1 - 6 years,Any Graduate,"Mumbai, Mumbai (All Areas)",,3-7 Lacs P.A.,Sales & Business Development,BD / Pre Sales
3 - 6 years,Any Graduate,Mumbai,Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
1 - 2 years,,"Mumbai( Belapur ), Navi Mumbai",MBA/PGDM in Information Technology,2-3 Lacs P.A.,Sales & Business Development,BD / Pre Sales
0 - 1 years,Any Graduate,Navi Mumbai,,1.44-1.8 Lacs P.A.,Sales & Business Development,BD / Pre Sales
0 - 3 years,"Any Graduate, B.B.A/ B.M.S in Management",Mumbai,Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
1 - 4 years,Diploma in Any Specialization,Mumbai Suburban,,2.88-4.2 Lacs P.A.,Sales & Business Development,BD / Pre Sales
1 - 2 years,Any Graduate,Mumbai( Kurla East ),,2.5-3 Lacs P.A.,Sales & Business Development,BD / Pre Sales
6 - 10 years,"B.Tech/B.E. in Any Specialization, B.Sc in Any Specialization",Mumbai,MBA/PGDM in Marketing,Not Disclosed,Sales & Business Development,BD / Pre Sales
0 - 5 years,Any Graduate,"Kolkata, Gurugram, Bengaluru",MBA/PGDM in Hospitality Management,2.5-4.25 Lacs P.A.,Sales & Business Development,BD / Pre Sales
2 - 3 years,Graduation Not Required,"Kochi, Ahmedabad, Bengaluru",,1-3.75 Lacs P.A.,Sales & Business Development,BD / Pre Sales
2 - 6 years,Any Graduate,"Hyderabad, Chennai, Bengaluru",,3-4.75 Lacs P.A.,Sales & Business Development,BD / Pre Sales
2 - 5 years,Any Graduate,"Kolkata, Lucknow, Chennai",,6-10 Lacs P.A.,Sales & Business Development,BD / Pre Sales
0 - 3 years,Any Graduate,"Hyderabad, Amaravathi, Bangalore/ Bengaluru",Any Postgraduate,3-6.5 Lacs P.A.,Sales & Business Development,BD / Pre Sales
3 - 5 years,"Diploma in Electrical, B.Tech/B.E. in Electrical",Bengaluru,,4-6 Lacs P.A.,Sales & Business Development,BD / Pre Sales
2 - 7 years,Any Graduate,Bengaluru( Koramangala ),,Not Disclosed,Sales & Business Development,BD / Pre Sales
0 - 5 years,Any Graduate,Bengaluru,,4-8 Lacs P.A.,Sales & Business Development,BD / Pre Sales
0 - 5 years,Any Graduate,Bengaluru,,Not Disclosed,Sales & Business Development,BD / Pre Sales
0 - 5 years,Any Graduate,"Kochi, Mysuru, Bengaluru",Any Postgraduate,3-6 Lacs P.A.,Sales & Business Development,BD / Pre Sales
1 - 6 years,Any Graduate,"Hubli, Mangaluru, Mysuru, Davangere, Udupi, Shimoga, Bangalore Rural, Bengaluru, Belgaum",Any Postgraduate,3-4.5 Lacs P.A.,Sales & Business Development,BD / Pre Sales
2 - 6 years,Any Graduate,Bengaluru,,1-6 Lacs P.A.,Sales & Business Development,BD / Pre Sales
3 - 7 years,B.B.A/ B.M.S in Management,"Hyderabad, Chennai",Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
3 - 7 years,Any Graduate,Hyderabad,Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
1 - 2 years,Any Graduate,Hyderabad,Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
1 - 2 years,Any Graduate,"Bengaluru( Vasanth nagar, Malleshwaram, Rajaji Nagar, RT Nagar, Hebbal )",,3-3.75 Lacs P.A.,Sales & Business Development,BD / Pre Sales
1 - 4 years,Graduation Not Required,Bengaluru( Banaswadi ),,1-2.5 Lacs P.A.,Sales & Business Development,BD / Pre Sales
6 - 11 years,B.B.A/ B.M.S in Any Specialization,Hyderabad,Any Postgraduate,Not Disclosed,Sales & Business Development,BD / Pre Sales
1 - 3 years,Any Graduate,Bangalore Rural,,2-4.5 Lacs P.A.,Sales & Business Development,BD / Pre Sales
1 - 3 years,Any Graduate,Bangalore Rural,,1-3.25 Lacs P.A.,Sales & Business Development,BD / Pre Sales
1 - 4 years,Any Graduate,Bangalore Rural,,1-3.25 Lacs P.A.,Sales & Business Development,BD / Pre Sales
1 - 3 years,"B.B.A/ B.M.S in Any Specialization, B.Com in Any Specialization",Bengaluru( Residency Road ),,1.25-3 Lacs P.A.,Sales & Business Development,BD / Pre Sales
3 - 5 years,,Bengaluru( Vijay Nagar ),MBA/PGDM in Any Specialization,2.5-5.5 Lacs P.A.,Sales & Business Development,BD / Pre Sales
1 - 3 years,Any Graduate,Bengaluru( Banaswadi ),,1-3 Lacs P.A.,Sales & Business Development,BD / Pre Sales
1 - 4 years,Any Graduate,Bengaluru( Banaswadi ),,1-3 Lacs P.A.,Sales & Business Development,BD / Pre Sales
1 - 4 years,Any Graduate,Bengaluru( Banaswadi ),,1-3 Lacs P.A.,Sales & Business Development,BD / Pre Sales
1 - 5 years,Any Graduate,Bengaluru( Banaswadi ),,1-3.25 Lacs P.A.,Sales & Business Development,BD / Pre Sales
1 - 5 years,Any Graduate,Bengaluru,,1-4 Lacs P.A.,Sales & Business Development,BD / Pre Sales
5 - 10 years,Any Graduate,Hyderabad,,Not Disclosed,Sales & Business Development,BD / Pre Sales
3 - 5 years,Any Graduate,Hyderabad,,Not Disclosed,Sales & Business Development,BD / Pre Sales
0 - 1 years,Any Graduate,"Bengaluru( Richmond Town, Domlur, Indira Nagar, 1A Block Koramangala, HSR Layout, BTM Layout, Manayata Tech Park, Marathahalli, Rajaji Nagar, 100 Feet Road )","Any Postgraduate, MBA/PGDM in Any Specialization",2.25-6 Lacs P.A.,Sales & Business Development,BD / Pre Sales
2 - 4 years,Any Graduate,Bengaluru,,3.75-5 Lacs P.A.,Sales & Business Development,BD / Pre Sales
6 - 10 years,Any Graduate,Bengaluru,,6-16 Lacs P.A.,Sales & Business Development,BD / Pre Sales
1 - 4 years,Any Graduate,Bengaluru,,3.5-5.5 Lacs P.A.,Sales & Business Development,BD / Pre Sales
3 - 5 years,Any Graduate,Hyderabad,,6-12 Lacs P.A.,Sales & Business Development,BD / Pre Sales
1 - 4 years,Graduation Not Required,Bengaluru,,2.5-6.5 Lacs P.A.,Sales & Business Development,BD / Pre Sales
2 - 7 years,Any Graduate,"Bangalore Rural, Bengaluru( Indira Nagar )",,3.5-6 Lacs P.A.,Sales & Business Development,BD / Pre Sales
8 - 13 years,Any Graduate,Bengaluru,,5-12 Lacs P.A.,Sales & Business Development,BD / Pre Sales
8 - 13 years,Any Graduate,Bengaluru,,5-12 Lacs P.A.,Sales & Business Development,BD / Pre Sales
1 - 6 years,Any Graduate,Bengaluru,,"50,000-3 Lacs P.A.",Sales & Business Development,BD / Pre Sales
0 - 3 years,Any Graduate,"Ernakulam, Mysuru, Bangalore/ Bengaluru",Any Postgraduate,3-6 Lacs P.A.,Sales & Business Development,BD / Pre Sales
0 - 5 years,Any Graduate,"Bangalore Rural, Coimbatore, Bengaluru",Any Postgraduate,3-6 Lacs P.A.,Sales & Business Development,BD / Pre Sales
1 - 5 years,Any Graduate,Bengaluru,,2.5-3 Lacs P.A.,Sales & Business Development,BD / Pre Sales
0 - 1 years,Any Graduate,Bengaluru( 100 Feet Road ),Any Postgraduate,3-6 Lacs P.A.,Sales & Business Development,BD / Pre Sales
4 - 9 years,,Bengaluru,,Not Disclosed,,
0 - 5 years,Any Graduate,"Kochi, Mysuru, Bengaluru( Koramangala )",,3-5 Lacs P.A.,Sales & Business Development,BD / Pre Sales
